ECN_CODE,PLNTT_CODE_SHORT,PLNTT_CODE,BRC_CODE_short,BRC_CODE,BRC_CONCEPT,NBN,ECN_name_plus_extras,BRC_NAME,PLABRYATT_VTA.NAME,DESC_ABBR,GROWTH_STAGE,PHYLUM,TX_LV_ECN,TX_LV_BRC_PLNTT,PLANT_TYPE,Tjan,Tjul,Prec,E1,E2,L,F,R,N,S,HM,Ord,FamA,VTR.Taxon.name,Competitor,Ruderal,Stress.Tolerant,BRC.V.PLNATT,match.comment,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
101,0920_2527,0920  2527,,,,,Acaena novae-zelandiae,,Acaena novae-zelandiae,,,vascular,spp,spp,forb,3.765494505,15.23384615,830.8032692,,,8,3,6,3,0,NA,Rosa,Rosa,Acaena novae-zelandiae,NA,NA,NA,match,,Acaena novae-zelandiae Kirk,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Acaena|Acaena novae-zelandiae,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|3031147|5370755,5370755,0.988
102,0920_3,0920     3,0920_3,902 3,Vas_3,,Acer campestre (c),Acer campestre,Acer campestre,acer campe (c),(c),vascular,spp,spp,,3.588723864,15.6942682,839.1454164,7,3,5,5,7,6,0,NA,Sapi,Sapi,Acer campestre,2,0,2,match,,Acer campestre L.,Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|Acer campestre,kingdom|phylum|class|order|family|genus|species,6|7707728|220|933|6657|3189834|3189863,3189863,0.988
2599,0920_3,0920     3,0920_3,902 3,Vas_3,,Acer campestre (g),Acer campestre,Acer campestre,,(g),vascular,spp,spp,,3.588723864,15.6942682,839.1454164,7,3,5,5,7,6,0,NA,Sapi,Sapi,Acer campestre,2,0,2,match,,Acer campestre L.,Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|Acer campestre,kingdom|phylum|class|order|family|genus|species,6|7707728|220|933|6657|3189834|3189863,3189863,0.988
2598,0920_3,0920     3,0920_3,902 3,Vas_3,,Acer campestre (s),Acer campestre,Acer campestre,acer campe (s),(s),vascular,spp,spp,,3.588723864,15.6942682,839.1454164,7,3,5,5,7,6,0,NA,Sapi,Sapi,Acer campestre,2,0,2,match,,Acer campestre L.,Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|Acer campestre,kingdom|phylum|class|order|family|genus|species,6|7707728|220|933|6657|3189834|3189863,3189863,0.988
2601,0920_5,0920     5,0920_5,902 5,Vas_5,,Acer pseudoplatanus (g),Acer pseudoplatanus,Acer pseudoplatanus,,(g),vascular,spp,spp,,3.56826972,14.5665564,1082.828391,7,3,4,5,6,6,0,NA,Sapi,Sapi,Acer pseudoplatanus,3,0,1,match,,Acer pseudoplatanus L.,Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|Acer pseudoplatanus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|933|6657|3189834|3189870,3189870,0.988
104,0920_7,0920     7,0920_7,902 7,Vas_7,,Achillea millefolium,Achillea millefolium,Achillea millefolium,achi mille,,vascular,spp,spp,,3.543711368,14.46028756,1102.532794,5,5,7,5,6,4,1,NA,Aste,Aste,Achillea millefolium,1.333333333,1.333333333,1.333333333,match,,Achillea millefolium L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Achillea|Achillea millefolium,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3119995|3120060,3120060,0.988
105,0920_9,0920     9,0920_9,902 9,Vas_9,,Achillea ptarmica,Achillea ptarmica,Achillea ptarmica,,,vascular,spp,spp,,3.280912892,14.26537631,1146.373395,5,5,7,7,5,3,0,NA,Aste,Aste,Achillea ptarmica,1.7,0.6,1.7,match,,Achillea ptarmica L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Achillea|Achillea ptarmica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3119995|3120333,3120333,0.988
110,0920_20,0920    20,0920_20,902 20,Vas_20,,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,aego podag,,vascular,spp,spp,,3.551264162,14.59242993,1063.914226,7,4,6,5,6,7,0,NA,Apia,Apia,Aegopodium podagraria,2,2,0,match,,Aegopodium podagraria L.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Aegopodium|Aegopodium podagraria,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|3034619|3034620,3034620,0.988
113,0920_22,0920    22,0920_22,902 22,Vas_22,,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,agri eupat,,vascular,spp,spp,,3.806193467,15.14649079,953.4478046,8,4,7,4,7,4,0,NA,Rosa,Rosa,Agrimonia eupatoria,1.333333333,1.333333333,1.333333333,match,,Agrimonia eupatoria Michx.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Agrimonia|Agrimonia parviflora,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|3001953|8236970,7352810,0.988
120,0920_35.2,0920    35.2,0920_35.2,902 35.2,Vas_35.2,,Agrostis canina,Agrostis canina,Agrostis canina,agro canin,,vascular,spp,spp,,3.463518048,14.48333503,1128.330968,5,6,7,7,3,3,0,NA,Poal,Poac,Agrostis canina,0.6,1.7,1.7,match,,Agrostis canina L.,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Agrostis|Agrostis canina,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2706434|2706465,2706465,0.988
123,0920_40,0920    40,0920_40,902 40,Vas_40,,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,agro capil,,vascular,spp,spp,,3.523154729,14.45098414,1103.805869,5,4,6,5,4,4,0,NA,Poal,Poac,Agrostis capillaris,1.333333333,1.333333333,1.333333333,match,,Agrostis capillaris L.,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Agrostis|Agrostis capillaris,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2706434|2706490,2706490,0.988
3079,0920_38,0920    38,0920_38,902 38,Vas_38,,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,,,vascular,spp,spp,,4.887707317,15.78902439,1081.763598,8,1,7,6,2,1,0,NA,Poal,Poac,Agrostis curtisii,NA,NA,NA,match,,Agrostis curtisii Kerguélen,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Agrostis|Agrostis curtisii,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2706434|4124303,4124303,0.988
